Date,Open,High,Low,Close,Adj Close,Volume
2019-05-07,205.880005,207.419998,200.830002,202.860001,202.081787,38763700
2019-05-08,201.899994,205.339996,201.750000,202.899994,202.121628,26339500
2019-05-09,200.399994,201.679993,196.660004,200.720001,199.949997,34908600
2019-05-10,197.419998,198.850006,192.770004,197.179993,197.179993,41208700
2019-05-13,187.710007,189.479996,182.850006,185.720001,185.720001,57430600
2019-05-14,186.410004,189.699997,185.410004,188.660004,188.660004,36529700
2019-05-15,186.270004,191.750000,186.020004,190.919998,190.919998,26544700
2019-05-16,189.910004,192.470001,188.839996,190.080002,190.080002,33031400
2019-05-17,186.929993,190.899994,186.759995,189.000000,189.000000,32879100
2019-05-20,183.520004,184.350006,180.279999,183.089996,183.089996,38612300
2019-05-21,185.220001,188.000000,184.699997,186.600006,186.600006,28364800
2019-05-22,184.660004,185.710007,182.550003,182.779999,182.779999,29748600
2019-05-23,179.800003,180.539993,177.809998,179.660004,179.660004,36529700
2019-05-24,180.199997,182.139999,178.619995,178.970001,178.970001,23714700
2019-05-28,178.919998,180.589996,177.910004,178.229996,178.229996,27948200
2019-05-29,176.419998,179.350006,176.000000,177.380005,177.380005,28481200
2019-05-30,177.949997,179.229996,176.669998,178.300003,178.300003,21218400
2019-05-31,176.229996,177.990005,174.990005,175.070007,175.070007,27043600
2019-06-03,175.600006,177.919998,170.270004,173.300003,173.300003,40396100
2019-06-04,175.440002,179.830002,174.520004,179.639999,179.639999,30968000
2019-06-05,184.279999,184.990005,181.139999,182.539993,182.539993,29773400
2019-06-06,183.080002,185.470001,182.149994,185.220001,185.220001,20715200
2019-06-07,186.509995,191.919998,185.779999,190.160004,190.160004,19371591
